AttendingPhysician_ID,AttendingPhysician
1,PHY383401
2,PHY370909
3,PHY383478
4,PHY347511
5,PHY343317
6,PHY425169
7,PHY425443
8,PHY390959
9,PHY334905
10,PHY430032
11,PHY408282
12,PHY386572
13,PHY327219
14,PHY373032
15,PHY317949
16,PHY358567
17,PHY424317
18,PHY332965
19,PHY386539
20,PHY353687
21,PHY347029
22,PHY365254
23,PHY324803
24,PHY347780
25,PHY383988
26,PHY418388
27,PHY319940
28,PHY428514
29,PHY338032
30,PHY357120
31,PHY405216
32,PHY425945
33,PHY370524
34,PHY427243
35,PHY325217
36,PHY415056
37,PHY413185
38,PHY404852
39,PHY404926
40,PHY354210
41,PHY428040
42,PHY351675
43,PHY339141
44,PHY385035
45,PHY361813
46,PHY431534
47,PHY326984
48,PHY402245
49,PHY403299
50,PHY417910
51,PHY358047
52,PHY343119
53,PHY332810
54,PHY355181
55,PHY371754
56,PHY371459
57,PHY384380
58,PHY428802
59,PHY398301
60,PHY428424
61,PHY322027
62,PHY381047
63,PHY399435
64,PHY330667
65,PHY322042
66,PHY351973
67,PHY416732
68,PHY427049
69,PHY426599
70,PHY361550
71,PHY317557
72,PHY372901
73,PHY347064
74,PHY369122
75,PHY378015
76,PHY387026
77,PHY376641
78,PHY362544
79,PHY382037
80,PHY323842
81,PHY380691
82,PHY333768
83,PHY341061
84,PHY344307
85,PHY358400
86,PHY404509
87,PHY383515
88,PHY363170
89,PHY405990
90,PHY346284
91,PHY369686
92,PHY414311
93,PHY415289
94,PHY411031
95,PHY418057
96,PHY389335
97,PHY423556
98,PHY319036
99,PHY414961
100,PHY400360
101,PHY430605
102,PHY324830
103,PHY331724
104,PHY346587
105,PHY365993
106,PHY414251
107,PHY432829
108,PHY432614
109,PHY333868
110,PHY313278
111,PHY368107
112,PHY430880
113,PHY383855
114,PHY412288
115,PHY399087
116,PHY330119
117,PHY325488
118,PHY383210
119,PHY354326
120,PHY394779
121,PHY366642
122,PHY341780
123,PHY317149
124,PHY360113
125,PHY378391
126,PHY386156
127,PHY397277
128,PHY349531
129,PHY367934
130,PHY344357
131,PHY342582
132,PHY340715
133,PHY382290
134,PHY353128
135,PHY335686
136,PHY378829
137,PHY396091
138,PHY329526
139,PHY345321
140,PHY316885
141,PHY394276
