ClmDiagnosisCode_3_ID,ClmDiagnosisCode_3
1,2989
2,2724
3,7295
4,E8889
5,41401
6,V420
7,2859
8,78702
9,4019
10,V854
11,71596
12,73390
13,72981
14,7823
15,V1082
16,E9600
17,25000
18,20411
19,V1582
20,2768
21,78720
22,71946
23,412
24,2720
25,2749
26,99760
27,2449
28,2869
29,V1272
30,V5869
31,71589
32,V4365
33,78093
34,E8785
35,36252
36,2865
37,25040
38,4414
39,78079
40,1749
41,53541
42,496
43,V4581
44,5990
45,V7284
46,5733
47,40390
48,71690
49,5859
50,V5883
51,7904
52,5559
53,7179
54,51189
55,1550
56,4011
57,3540
58,7919
59,33818
60,4359
61,317
62,V7283
63,311
64,41400
65,5771
66,73300
67,V0481
68,3051
69,71595
70,25002
71,5939
72,36610
73,2900
74,78901
75,42731
76,V180
77,7140
78,5768
79,71943
80,V7644
81,2809
82,V5861
83,5693
84,486
85,71591
86,V1254
87,51884
88,2903
89,5853
90,9221
91,3559
92,28521
93,40391
94,V053
95,27800
96,56210
97,4271
98,78791
99,4264
100,2722
101,7384
102,78099
103,V5844
104,E9429
105,7906
106,V850
107,56400
108,V560
109,V0382
110,V163
111,78659
112,4279
113,V5489
114,V1041
115,53081
116,72252
117,4240
118,V4981
119,49390
120,5856
121,40290
122,28981
123,68110
124,7213
125,4280
126,3384
127,5845
128,8921
129,60000
130,78900
131,51882
132,7041
133,V5866
134,7804
135,2721
136,7020
137,4254
138,7282
139,V140
140,71537
141,70710
142,1977
143,3899
144,4550
145,3569
146,7812
147,27900
148,04111
149,78609
150,7821
151,4739
152,7242
153,72781
154,7424
155,30500
156,2949
157,7852
158,1991
159,V146
160,33829
161,V7651
162,V1009
163,61172
164,5889
165,1969
166,V609
167,7197
168,25010
169,4139
170,V6700
171,V5865
172,4259
173,2143
174,6953
175,5969
176,71590
177,30300
178,4571
179,30021
180,24290
181,36250
182,1540
183,27651
184,3674
185,4599
186,3310
187,5533
188,V103
189,30393
190,2948
191,4292
192,4556
193,4730
194,V1083
195,4389
196,2689
197,11289
198,49320
199,78605
200,30981
201,V5409
202,70720
203,5899
204,72709
205,29680
206,58881
207,99989
208,7851
209,71945
210,40210
211,34211
212,78701
213,9072
214,33819
215,V726
216,V1251
217,56722
218,6826
219,43491
220,49322
221,5409
222,99673
223,V4511
224,4659
225,0389
226,78841
227,72402
228,7244
229,E8859
230,70715
231,9212
232,43889
233,V5867
234,34212
235,79902
236,78321
237,V6759
238,78097
239,3489
240,71699
241,71941
242,7810
243,2725
244,V5789
245,2800
246,72887
247,9594
248,E9051
249,43822
250,5852
251,2851
252,V4589
253,78723
254,V4501
255,04112
256,42732
257,3804
258,99659
259,V4577
260,V571
261,60001
262,78060
263,48289
264,3090
265,V4582
266,73679
267,E9289
268,4732
269,79099
270,4400
271,1976
272,71598
273,7845
274,51889
275,29620
276,71514
277,29040
278,490
279,1104
280,6101
281,3320
282,E9298
283,78039
284,3888
285,V1046
286,V7791
287,E8810
288,E8780
289,7963
290,6218
291,7910
292,78094
293,4148
294,V065
295,V771
296,5880
297,7580
298,4439
299,7246
300,79431
301,42789
302,8940
303,V860
304,71948
305,25060
306,73313
307,79029
308,40490
309,4293
310,6219
311,4871
312,5789
313,2766
314,30000
315,1101
316,V0980
317,5180
318,9779
319,2761
320,E9063
321,5589
322,V123
323,3439
324,V4502
325,71516
326,1533
327,V5721
328,60784
329,7291
330,42781
331,78057
332,7907
333,4010
334,4299
335,4160
336,V7389
337,2113
338,32723
339,E8788
340,27549
341,4168
342,83100
343,47819
344,V7281
345,V5862
346,3319
347,2875
348,5738
349,3501
350,34590
351,5183
352,78052
353,30001
354,7061
355,7843
356,79439
357,30390
358,V5878
359,25080
360,5238
361,591
362,32751
363,V1200
364,71944
365,71509
366,51881
367,2762
368,9100
369,4270
370,4619
371,5722
372,73399
373,29640
374,5511
375,7245
376,V1005
377,78902
378,2788
379,V1302
380,7862
381,4263
382,72610
383,7243
384,V431
385,6929
386,5119
387,135
388,9975
389,8500
390,6827
391,4928
392,3669
393,5849
394,78096
395,37881
396,72989
397,37264
398,45981
399,7840
400,51883
401,V5863
402,4589
403,193
404,36614
405,70700
406,7262
407,29289
408,71535
409,71694
410,71650
411,V134
412,29590
413,4779
414,29689
415,71949
416,20410
417,V7612
418,2572
419,3659
420,78053
421,25001
422,V1507
423,27801
424,4272
425,4370
426,5185
427,4660
428,28860
429,4553
430,53510
431,71965
432,7859
433,1543
434,V454
435,78650
436,1179
437,3572
438,2330
439,78050
440,30029
441,E9270
442,2810
443,515
444,56409
445,72210
446,72982
447,70709
448,71951
449,3438
450,73301
