OperatingPhysician_ID,OperatingPhysician
1,PHY408367
2,PHY390959
3,PHY313692
4,PHY323686
5,PHY433241
6,PHY352364
7,PHY390246
8,PHY373032
9,PHY418228
10,PHY383520
11,PHY423986
12,PHY324872
13,PHY407957
14,PHY326984
15,PHY317059
16,PHY398301
17,PHY410597
18,PHY398650
19,PHY325488
20,PHY354326
21,PHY385129
22,PHY360113
23,PHY386156
24,PHY349531
25,PHY378227
26,PHY385253
27,PHY329707
28,PHY432111
29,PHY393811
30,PHY418771
31,PHY343046
32,PHY400092
33,PHY350731
34,PHY313157
35,PHY324990
36,PHY361948
37,PHY362903
38,PHY370737
39,PHY427489
40,PHY367268
41,PHY333894
42,PHY368661
43,PHY432769
44,PHY389232
45,PHY417590
46,PHY378206
47,PHY345497
48,PHY323032
49,PHY432238
50,PHY396305
51,PHY397516
52,PHY398470
53,PHY329526
54,PHY345081
55,PHY386337
56,PHY331663
57,PHY320953
58,PHY385693
59,PHY344901
60,PHY347064
61,PHY383481
62,PHY406537
63,PHY342419
64,PHY343985
65,PHY387564
66,PHY416865
67,PHY432163
68,PHY331347
69,PHY330601
70,PHY406872
71,PHY333674
72,PHY322932
73,PHY361507
74,PHY313850
75,PHY423392
76,PHY400007
77,PHY342906
78,PHY343263
79,PHY320581
80,PHY385136
81,PHY395370
82,PHY352698
83,PHY352941
84,PHY314416
85,PHY421888
86,PHY429296
87,PHY332121
88,PHY341452
89,PHY402239
90,PHY348714
91,PHY327096
92,PHY344967
93,PHY369860
94,PHY413053
95,PHY430009
96,PHY395925
97,PHY337729
98,PHY384200
99,PHY366560
100,PHY328677
101,PHY347213
102,PHY354479
103,PHY375910
104,PHY380502
105,PHY434113
106,PHY379247
107,PHY340328
108,PHY384272
109,PHY394143
110,PHY352592
111,PHY427630
112,PHY423877
113,PHY349930
114,PHY350672
115,PHY374426
116,PHY419512
117,PHY396257
118,PHY327990
119,PHY386076
120,PHY400589
121,PHY337978
122,PHY316798
123,PHY364363
124,PHY411052
125,PHY365399
126,PHY379159
127,PHY387900
128,PHY340233
129,PHY427439
130,PHY322681
131,PHY407400
132,PHY335051
133,PHY405937
134,PHY321245
135,PHY375969
136,PHY404394
137,PHY333331
138,PHY319063
139,PHY426471
140,PHY373688
141,PHY423448
142,PHY427929
143,PHY319973
144,PHY329600
145,PHY407804
146,PHY330576
147,PHY348243
148,PHY416193
149,PHY353003
150,PHY351668
151,PHY323300
152,PHY340722
153,PHY375943
154,PHY311788
155,PHY370075
156,PHY382012
157,PHY396617
158,PHY333735
159,PHY389719
160,PHY431039
161,PHY423728
162,PHY321493
163,PHY405131
164,PHY312780
165,PHY423833
166,PHY320707
167,PHY319349
168,PHY353771
169,PHY354511
170,PHY316081
171,PHY405720
172,PHY326549
173,PHY365285
174,PHY312374
175,PHY381249
176,PHY378824
177,PHY388540
178,PHY424272
179,PHY418957
180,PHY421969
181,PHY414269
182,PHY409562
183,PHY311602
184,PHY317506
185,PHY334069
186,PHY402673
187,PHY373335
188,PHY431837
189,PHY359902
190,PHY318506
191,PHY345165
192,PHY396960
193,PHY423706
194,PHY402352
195,PHY428408
196,PHY343722
197,PHY382285
198,PHY352248
199,PHY418664
200,PHY354983
201,PHY385474
202,PHY360773
203,PHY327046
204,PHY339837
205,PHY431136
206,PHY338038
207,PHY375509
208,PHY351002
209,PHY341671
210,PHY367162
211,PHY379636
212,PHY377670
213,PHY401426
214,PHY348928
215,PHY417596
216,PHY403413
217,PHY341731
218,PHY375267
219,PHY377234
220,PHY423304
221,PHY381893
222,PHY362930
223,PHY370842
224,PHY402362
225,PHY314027
226,PHY337425
227,PHY398444
228,PHY357120
229,PHY389419
230,PHY341578
231,PHY428380
232,PHY396282
233,PHY339246
234,PHY421058
235,PHY371916
236,PHY414129
237,PHY379101
238,PHY349756
239,PHY339530
240,PHY412508
241,PHY431588
242,PHY429080
243,PHY318578
244,PHY394049
245,PHY380883
246,PHY392037
247,PHY311313
248,PHY393076
249,PHY397781
250,PHY432448
251,PHY349464
252,PHY430789
253,PHY331093
254,PHY315978
255,PHY374630
256,PHY411489
257,PHY320803
258,PHY401462
259,PHY390110
260,PHY331724
261,PHY370158
262,PHY328853
263,PHY321977
264,PHY385913
265,PHY313204
266,PHY422895
267,PHY342065
268,PHY318111
269,PHY384405
270,PHY425221
271,PHY373682
272,PHY341190
273,PHY401599
274,PHY398680
275,PHY313084
276,PHY335828
277,PHY391796
278,PHY312209
279,PHY423980
280,PHY344257
281,PHY318567
282,PHY321514
283,PHY327732
284,PHY373646
285,PHY340436
286,PHY319666
287,PHY402042
288,PHY349090
289,PHY328937
290,PHY433436
291,PHY393553
292,PHY329815
293,PHY368577
294,PHY318616
295,PHY326286
296,PHY377125
297,PHY325874
298,PHY385292
299,PHY338077
300,PHY379142
301,PHY375219
302,PHY400307
303,PHY345379
304,PHY342288
305,PHY424084
306,PHY383336
307,PHY335295
308,PHY415321
309,PHY323643
310,PHY360179
311,PHY410218
312,PHY367999
313,PHY403127
314,PHY390424
315,PHY385072
316,PHY364844
317,PHY430990
318,PHY333812
319,PHY330662
320,PHY347780
321,PHY318601
322,PHY340548
323,PHY381706
324,PHY392955
325,PHY368639
326,PHY393943
327,PHY432444
328,PHY399029
329,PHY407877
330,PHY424468
331,PHY377788
332,PHY426218
333,PHY350773
334,PHY325675
335,PHY402332
336,PHY433337
337,PHY328908
338,PHY402679
339,PHY320331
340,PHY388559
341,PHY332820
342,PHY338349
343,PHY375925
344,PHY325821
345,PHY351960
346,PHY368638
347,PHY348419
348,PHY377950
349,PHY420521
350,PHY334461
351,PHY369254
352,PHY378880
353,PHY398286
354,PHY343555
355,PHY341560
356,PHY357679
357,PHY432396
358,PHY358111
359,PHY346923
360,PHY395758
361,PHY418843
362,PHY367255
363,PHY394741
364,PHY322106
365,PHY428086
366,PHY326771
367,PHY316692
368,PHY375412
369,PHY314004
370,PHY341702
371,PHY331021
372,PHY432233
373,PHY338685
374,PHY327099
375,PHY408107
376,PHY386374
377,PHY407355
378,PHY353441
379,PHY363960
380,PHY321011
381,PHY420028
382,PHY329552
383,PHY375207
384,PHY355979
385,PHY366678
386,PHY377741
387,PHY366992
388,PHY349818
389,PHY426224
390,PHY353793
391,PHY429658
392,PHY325743
393,PHY421761
394,PHY336839
395,PHY402599
396,PHY353332
397,PHY362144
398,PHY332679
399,PHY400783
400,PHY376984
401,PHY379559
402,PHY369865
403,PHY382997
404,PHY338889
405,PHY325721
406,PHY311470
407,PHY400200
408,PHY351338
409,PHY359079
410,PHY366501
411,PHY328741
412,PHY371906
413,PHY313877
414,PHY426838
415,PHY404754
416,PHY333511
417,PHY318561
418,PHY427416
419,PHY383808
420,PHY422143
421,PHY314378
422,PHY394843
423,PHY426351
424,PHY410586
425,PHY351443
426,PHY422483
427,PHY405650
428,PHY413439
429,PHY392136
430,PHY319039
431,PHY342405
432,PHY382753
433,PHY328639
434,PHY361987
435,PHY326062
436,PHY332895
437,PHY361063
438,PHY364477
439,PHY312659
440,PHY365585
441,PHY409755
442,PHY372992
443,PHY381059
444,PHY423886
445,PHY333192
446,PHY392903
447,PHY421539
448,PHY372526
449,PHY346614
450,PHY431005
451,PHY397230
452,PHY322735
453,PHY343852
454,PHY342572
455,PHY426654
456,PHY360939
457,PHY328053
458,PHY417370
459,PHY405497
460,PHY376748
461,PHY382226
462,PHY318242
463,PHY322328
464,PHY330894
465,PHY372177
466,PHY431348
467,PHY330119
468,PHY358603
469,PHY345620
470,PHY371866
471,PHY314941
472,PHY430010
473,PHY415259
474,PHY340213
475,PHY412961
476,PHY366289
477,PHY356156
478,PHY379387
479,PHY379009
480,PHY366944
481,PHY328604
482,PHY348617
483,PHY428136
484,PHY414789
485,PHY358089
486,PHY379058
487,PHY312173
488,PHY432524
489,PHY428763
490,PHY360289
491,PHY330467
492,PHY364316
493,PHY361315
494,PHY387026
495,PHY347925
496,PHY352555
497,PHY330549
498,PHY424897
499,PHY321315
500,PHY352228
501,PHY331893
502,PHY346385
503,PHY351983
504,PHY376386
505,PHY311325
506,PHY332111
507,PHY326049
508,PHY373993
509,PHY404832
510,PHY423941
511,PHY344686
512,PHY396839
513,PHY412132
514,PHY339242
515,PHY407357
516,PHY322406
517,PHY368494
518,PHY361013
519,PHY432104
520,PHY401746
521,PHY347020
522,PHY409772
523,PHY422882
524,PHY353823
525,PHY357131
526,PHY428567
527,PHY412631
528,PHY416953
529,PHY356528
